TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_21,NO3,85.3391037069094,2035
01_SP_21,NO3,123.924586232918,2040
01_SP_21,NO3,124.90505854420101,2045
01_SP_21,NO3,90.0477383695355,2050
01_SP_21,NO4,68.763462634757,2030
01_SP_21,NO4,61.7134439222728,2035
01_SP_21,NO4,64.6932733282627,2040
01_SP_21,NO4,66.2512872766858,2045
01_SP_21,NO4,67.47374702344061,2050
01_SP_21,NO5,90.5312532201895,2030
01_SP_21,NO5,93.0762945236284,2035
01_SP_21,NO5,101.42833344691499,2040
01_SP_21,NO5,88.0753248740421,2045
01_SP_21,NO5,67.2957104694791,2050
01_SP_22,NO1,90.65937631433431,2030
01_SP_22,NO1,92.9410283796429,2035
01_SP_22,NO1,103.403251360222,2040
01_SP_22,NO1,89.81343205198439,2045
01_SP_22,NO1,80.2410827034382,2050
01_SP_22,NO2,92.056434483619,2030
01_SP_22,NO2,92.0813098038391,2035
01_SP_22,NO2,87.7421142417881,2040
01_SP_22,NO2,85.8351945536525,2045
01_SP_22,NO2,78.6362610493694,2050
01_SP_22,NO3,68.3492759232755,2030
01_SP_22,NO3,83.3848987295626,2035
01_SP_22,NO3,122.23364717228802,2040
01_SP_22,NO3,123.31265186693399,2045
01_SP_22,NO3,88.5154628275294,2050
01_SP_22,NO4,66.98229040481,2030
01_SP_22,NO4,60.2186454054682,2035
01_SP_22,NO4,63.0432944483637,2040
01_SP_22,NO4,64.885177832623,2045
01_SP_22,NO4,66.0903009740942,2050
01_SP_22,NO5,88.6423349981012,2030
01_SP_22,NO5,91.0822078120501,2035
01_SP_22,NO5,101.33518633301699,2040
01_SP_22,NO5,88.0171634109447,2045
01_SP_22,NO5,67.234618268982,2050
01_SP_23,NO1,88.00047913346529,2030
01_SP_23,NO1,90.800247030526,2035
01_SP_23,NO1,103.073902424673,2040
01_SP_23,NO1,89.5866540513434,2045
01_SP_23,NO1,80.1925386517209,2050
01_SP_23,NO2,89.82936128997291,2030
01_SP_23,NO2,91.6586663573283,2035
