TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_11,NO1,72.43316242461421,2045
01_SP_11,NO1,54.029191399855904,2050
01_SP_11,NO2,62.500542097380006,2030
01_SP_11,NO2,68.9397637012519,2035
01_SP_11,NO2,64.3332322048569,2040
01_SP_11,NO2,55.6973478725187,2045
01_SP_11,NO2,52.948607431535905,2050
01_SP_11,NO3,61.5407130663855,2030
01_SP_11,NO3,67.6860492703578,2035
01_SP_11,NO3,72.0943339664217,2040
01_SP_11,NO3,72.4331630039017,2045
01_SP_11,NO3,55.4985890097401,2050
01_SP_11,NO4,60.309898807103,2030
01_SP_11,NO4,66.33232829529331,2035
01_SP_11,NO4,70.652447309125,2040
01_SP_11,NO4,71.6325425025883,2045
01_SP_11,NO4,55.498589067999504,2050
01_SP_11,NO5,62.79664605262381,2030
01_SP_11,NO5,71.7823445328168,2035
01_SP_11,NO5,74.19980405115321,2040
01_SP_11,NO5,73.9113902113603,2045
01_SP_11,NO5,55.131827935441905,2050
01_SP_12,NO1,63.7760633173015,2030
01_SP_12,NO1,68.874719824956,2035
01_SP_12,NO1,71.8105144437379,2040
01_SP_12,NO1,71.94698364539201,2045
01_SP_12,NO1,52.903251712376004,2050
01_SP_12,NO2,62.5005420534623,2030
01_SP_12,NO2,67.497225428253,2035
01_SP_12,NO2,64.3332252636024,2040
01_SP_12,NO2,55.5960145107969,2045
01_SP_12,NO2,51.8451865832558,2050
01_SP_12,NO3,61.5407130644295,2030
01_SP_12,NO3,66.243510918251,2035
01_SP_12,NO3,71.1705649932742,2040
01_SP_12,NO3,72.23162747281711,2045
01_SP_12,NO3,54.349670242228,2050
01_SP_12,NO4,60.309898806625405,2030
01_SP_12,NO4,64.9186407086773,2035
01_SP_12,NO4,69.7471537163847,2040
01_SP_12,NO4,71.1463636858722,2045
01_SP_12,NO4,53.2626769809596,2050
01_SP_12,NO5,62.796646052539494,2030
01_SP_12,NO5,70.2803263392304,2035
01_SP_12,NO5,73.2760351306614,2040
01_SP_12,NO5,73.41528941715549,2045
01_SP_12,NO5,53.9829098877108,2050
01_SP_13,NO1,63.776063264137896,2030
01_SP_13,NO1,68.3572116232526,2035
01_SP_13,NO1,71.6938059998217,2040
01_SP_13,NO1,72.2318226365471,2045
01_SP_13,NO1,53.1886503981486,2050
01_SP_13,NO2,62.50054200132,2030
01_SP_13,NO2,66.9900673912979,2035
01_SP_13,NO2,70.2599297636072,2040
01_SP_13,NO2,55.671189140902,2045
01_SP_13,NO2,52.1248773219487,2050
01_SP_13,NO3,61.540713063209296,2030
01_SP_13,NO3,65.7363529012366,2035
01_SP_13,NO3,71.0514748869649,2040
01_SP_13,NO3,72.23182364723421,2045
01_SP_13,NO3,54.6408936805062,2050
01_SP_13,NO4,60.309898806250395,2030
01_SP_13,NO4,64.4216258515424,2035
01_SP_13,NO4,69.6304454079751,2040
01_SP_13,NO4,71.43120268651191,2045
01_SP_13,NO4,53.5480760851939,2050
01_SP_13,NO5,62.796646052502794,2030
01_SP_13,NO5,69.7522567460814,2035
01_SP_13,NO5,73.1569448824457,2040
01_SP_13,NO5,73.70594144793701,2045
01_SP_13,NO5,54.2741330351257,2050
01_SP_14,NO1,63.776063249719506,2030
01_SP_14,NO1,69.9563836898307,2035
01_SP_14,NO1,72.8407966515775,2040
01_SP_14,NO1,73.4979791289952,2045
01_SP_14,NO1,64.1059994973952,2050
01_SP_14,NO2,62.5005419872568,2030
01_SP_14,NO2,68.5572560177808,2035
01_SP_14,NO2,71.3839807002421,2040
01_SP_14,NO2,59.313382246214,2045
01_SP_14,NO2,55.1508252890474,2050
01_SP_14,NO3,61.5407130629118,2030
01_SP_14,NO3,67.3035415964157,2035
01_SP_14,NO3,72.2218737759388,2040
01_SP_14,NO3,74.1809782172855,2045
01_SP_14,NO3,63.431825165922206,2050
01_SP_14,NO4,60.3098988061969,2030
01_SP_14,NO4,65.9574707732746,2035
01_SP_14,NO4,70.7774363179734,2040
01_SP_14,NO4,72.697359140266,2045
01_SP_14,NO4,62.1631887548909,2050
01_SP_14,NO5,62.7966460525022,2030
01_SP_14,NO5,71.38406497771851,2035
01_SP_14,NO5,74.3273435073604,2040
01_SP_14,NO5,74.99793787072801,2045
01_SP_14,NO5,65.4142851774071,2050
01_SP_15,NO1,63.776063307362406,2030
01_SP_15,NO1,85.62857699901801,2035
01_SP_15,NO1,76.3536135199558,2040
01_SP_15,NO1,76.674652675027,2045
01_SP_15,NO1,71.292703007615,2050
01_SP_15,NO2,62.500542043931205,2030
01_SP_15,NO2,83.9160054627594,2035
01_SP_15,NO2,74.82654124400571,2040
01_SP_15,NO2,66.195035682687,2045
01_SP_15,NO2,56.951640026839904,2050
01_SP_15,NO3,61.540713063705006,2030
01_SP_15,NO3,83.9938806192832,2035
01_SP_15,NO3,76.3536134035307,2040
01_SP_15,NO3,77.422482187876,2045
01_SP_15,NO3,73.1144169527984,2050
01_SP_15,NO4,60.3098988062754,2030
01_SP_15,NO4,82.3140030159955,2035
01_SP_15,NO4,74.8265411518871,2040
01_SP_15,NO4,75.8740326922103,2045
01_SP_15,NO4,71.6521287292949,2050
01_SP_15,NO5,62.7966460525509,2030
01_SP_15,NO5,87.3760989574896,2035
01_SP_15,NO5,77.9118505182681,2040
01_SP_15,NO5,78.2394414909224,2045
01_SP_15,NO5,72.7476561101474,2050
01_SP_16,NO1,63.7760633076216,2030
01_SP_16,NO1,86.98735126568741,2035
01_SP_16,NO1,91.4086681611756,2040
01_SP_16,NO1,83.3178167040154,2045
01_SP_16,NO1,81.4998595585441,2050
01_SP_16,NO2,62.5005420442512,2030
01_SP_16,NO2,85.2476042465548,2035
01_SP_16,NO2,89.5804947973515,2040
01_SP_16,NO2,81.6514603518828,2045
01_SP_16,NO2,69.5285556687551,2050
01_SP_16,NO3,61.540713065034694,2030
01_SP_16,NO3,83.9938897569635,2035
01_SP_16,NO3,90.26912064257421,2040
01_SP_16,NO3,84.2012210540586,2045
01_SP_16,NO3,78.42787457472511,2050
01_SP_16,NO4,60.309898813065196,2030
01_SP_16,NO4,82.3140119676975,2035
01_SP_16,NO4,88.46373824178809,2040
01_SP_16,NO4,82.5171967256786,2045
01_SP_16,NO4,76.8593171298444,2050
01_SP_16,NO5,62.796646052540595,2030
01_SP_16,NO5,87.3760989714833,2035
01_SP_16,NO5,93.2741511606293,2040
